Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
transaction,Chrome 80.0.3987.163,,,2020-04-16 21:02:38,2020-04-16 21:03:56,1m - 18.322s,FAILED
,,,,,,,
Test Cases/transaction,Chrome 80.0.3987.163,,,2020-04-16 21:02:38,2020-04-16 21:02:56,17.576s,PASSED
"callTestCase(findTestCase(""login""), [:], STOP_ON_FAILURE)",Chrome 80.0.3987.163,,,2020-04-16 21:02:38,2020-04-16 21:02:51,13.032s,PASSED
comment(note),Chrome 80.0.3987.163,,,2020-04-16 21:02:51,2020-04-16 21:02:51,0.006s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/saucedemo/label_Products""), 3)",Chrome 80.0.3987.163,,,2020-04-16 21:02:51,2020-04-16 21:02:52,0.068s,PASSED
"click(findTestObject(""Object Repository/saucedemo/button_ADD TO CART""))",Chrome 80.0.3987.163,,,2020-04-16 21:02:52,2020-04-16 21:02:52,0.062s,PASSED
"itemOnCart = getText(findTestObject(""Object Repository/saucedemo/label_numberOfItem""))",Chrome 80.0.3987.163,,,2020-04-16 21:02:52,2020-04-16 21:02:52,0.046s,PASSED
"verifyNotMatch(itemOnCart, ""0"", false)",Chrome 80.0.3987.163,,,2020-04-16 21:02:52,2020-04-16 21:02:52,0.005s,PASSED
"click(findTestObject(""Object Repository/saucedemo/button_cart""))",Chrome 80.0.3987.163,,,2020-04-16 21:02:52,2020-04-16 21:02:52,0.490s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/saucedemo/label_Your Cart""), 3)",Chrome 80.0.3987.163,,,2020-04-16 21:02:52,2020-04-16 21:02:52,0.039s,PASSED
"click(findTestObject(""Object Repository/saucedemo/button_checkout""))",Chrome 80.0.3987.163,,,2020-04-16 21:02:52,2020-04-16 21:02:53,0.429s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/saucedemo/label_Checkout Your Information""), 3)",Chrome 80.0.3987.163,,,2020-04-16 21:02:53,2020-04-16 21:02:53,0.024s,PASSED
"setText(findTestObject(""Object Repository/saucedemo/input_firstName""), firstName)",Chrome 80.0.3987.163,,,2020-04-16 21:02:53,2020-04-16 21:02:53,0.090s,PASSED
"setText(findTestObject(""Object Repository/saucedemo/input_lastName""), lastName)",Chrome 80.0.3987.163,,,2020-04-16 21:02:53,2020-04-16 21:02:53,0.085s,PASSED
"setText(findTestObject(""Object Repository/saucedemo/input_postalCode""), postalCode)",Chrome 80.0.3987.163,,,2020-04-16 21:02:53,2020-04-16 21:02:53,0.078s,PASSED
"click(findTestObject(""Object Repository/saucedemo/button_continue""))",Chrome 80.0.3987.163,,,2020-04-16 21:02:53,2020-04-16 21:02:53,0.526s,PASSED
"if (scenario == ""pos"")",Chrome 80.0.3987.163,,,2020-04-16 21:02:53,2020-04-16 21:02:54,0.882s,PASSED
takeScreenshot(),Chrome 80.0.3987.163,,,2020-04-16 21:02:54,2020-04-16 21:02:55,0.401s,PASSED
delay(1),Chrome 80.0.3987.163,,,2020-04-16 21:02:55,2020-04-16 21:02:56,1.005s,PASSED
,,,,,,,
Test Cases/transaction,Chrome 80.0.3987.163,,,2020-04-16 21:02:56,2020-04-16 21:03:11,14.877s,PASSED
